LETRA ORIGINAL                                                TRADUCCIÓN CHATGPT                                            
Calor, calor, calor (6)                                       Calor, calor, calor (6)                                       
Calor, calor, calor (6)                                       Calor, calor, calor (6)                                       
Ay Mamá (3)                                                   Ay Mamá (3)                                                  
The summer's hottest day (7)                                  El día más caluroso del verano (9)                             
Paciencia y fe (5)                                            Paciencia y fe (5)                                            
Paciencia y fe (5)                                            Paciencia y fe (5)                                            
It was hotter at home in La Víbora (9)                        Hacía más calor en casa, en La Víbora (10)                    
The Washington Heights of Havana (8)                          El Washington Heights de La Habana (9)                        
A crowded city of faces the same as mine (10)                 Una ciudad llena de rostros iguales al mío (11)               
Back as a child in La Víbora (8)                              De niña, en La Víbora (7)                                      
I chased the birds in the plaza (8)                           Perseguía a los pájaros en la plaza (10)                      
Praying, mamá, you would find work (8)                        Rezando, mamá, para que encontraras trabajo (10)              
Combing the stars in the sky for some sort of sign (11)       Peinando las estrellas del cielo buscando alguna señal (12)    
Ay, mamá, so many stars in Cuba (8)                           Ay, mamá, tantas estrellas en Cuba (8)                        
En Nueva York we can't see beyond our streetlights (11)       En Nueva York no vemos más allá de las farolas (12)           
To reach the roof you gotta bribe the supa (10)               Para llegar al techo hay que sobornar al super (12)           
Ain't no Cassiopeia in Washington Heights (10)                No hay Cassiopeia en Washington Heights (10)                 
But ain't no food in La Víbora (8)                            Pero no hay comida en La Víbora (9)                           
I remember nights (5)                                         Recuerdo las noches (7)                                       
Anger in the streets (5)                                      Rabia en las calles (6)                                       
Hunger at the windows (6)                                     Hambre en las ventanas (7)                                    
Women folding clothes (5)                                     Mujeres doblando ropa (7)                                     
Playing with my friends in the summer rain (10)               Jugando con mis amigos bajo la lluvia de verano (11)          
Mamá needs a job (5)                                          Mamá necesita un trabajo (7)                                  
Mamá says we're poor (5)                                      Mamá dice que somos pobres (7)                                
One day you say, "Vamos a Nueva York" (9)                     Un día dices, "Vamos a Nueva York" (9)                        
And Nueva York was far (6)                                    Y Nueva York estaba lejos (7)                                 
But Nueva York had work and so we came (9)                    Pero en Nueva York había trabajo, y entonces vinimos (12)     
And now, I'm wide awake (6)                                   Y ahora estoy completamente despierta (9)                     
A million years too late (7)                                  Mil años demasiado tarde (8)                                  
