LETRA ORIGINAL                                                            TRADUCCIÓN CHATGPT                                                TRADUCCIÓN FINAL
Oh, my God, enough! (5)                                                   ¡Oh, Dios mío, basta! (6)                                         Oh my God, ¡ya está! (5)    
Now you listen to me (6)                                                  Ahora me escuchas a mí (7)                                        Ahora me toca a mí (6)        

[Nina, spoken]                                                            [Nina, hablado]                                                   [Nina, hablado] 
Mom (1)                                                                   Mamá (1)                                                          Mamá (1)

[Camila]                                                                  [Camila]                                                          [Camila]
Carajo, I said enough! (6)                                                ¡Carajo, dije basta! (7)                                          ¡Carajo, dije ya está! (7)    
I'm sick of all this fighting! (7)                                        ¡Estoy harta de toda esta pelea! (8)                              Ya vale de peleas (7)  

[Kevin, spoken]                                                           [Kevin, hablado]                                                  [Kevin, hablado]
Cami (2)                                                                  Cami (2)                                                          Cami (2)  

[Camila]                                                                  [Camila]                                                          [Camila]
Yapapapapa! (5)                                                           ¡Yapapapapa! (5)                                                  ¡Yapapapapa! (5)
I think you’ve said enough (7)                                            Creo que ya has dicho suficiente (8)                              Has hablado de más (6)
Now listen to what I say (7)                                              Ahora escucha lo que digo (7)                                     Te toca-escucharme (7)
What I say goes! (5)                                                      ¡Lo que yo digo va! (6)                                           De-una vez
Papi, you’ve pushed us all away (8)                                       Papi, nos has echado a todos (9)                                  ¿Contaste con nuestra opinión? (8)

[Kevin, spoken]                                                           [Kevin, hablado]                                                  [Kevin, hablado]
I'm trying to (4)                                                         Estoy intentando (5)                                              Estoy intentando (5)  

[Camila]                                                                  [Camila]                                                          [Camila]
I don’t wanna hear it! (6)                                                ¡No quiero oírlo! (6)                                             ¡No, no quiero oírlo!       
We make decisions as a family (9)                                         Tomamos decisiones como familia (11)                              Decidimos como familia
And throwing Benny out like that? (8)                                     ¿Y echar a Benny así? (7)                                         Y echar a Benny así, sin más
You sound just like your father! (7)                                      ¡Suenas igual que tu padre! (8)                                   Suenas como tu padre (7)
We both know what a son of a bitch he was! (11)                           Ambos sabemos qué hijo de puta era él (10)                        Recuerda que ese viejo era un cabrón (11)
You think it all comes down to you (8)                                    ¿Crees que todo se reduce a ti? (9)                               ----------------

[Kevin]                                                                   [Kevin]                                                           [Kevin]
Cami, let’s talk about it (7)                                             Cami, hablemos de esto (7)                                        Cami, vamos a hablarlo (7)

[Camila]                                                                  [Camila]                                                          [Camila]            
No no no no no! (5)                                                       ¡No no no no no! (5)                                              ¡No no no no no! (5)
No no no no no! No, you don’t! (7)                                        ¡No no no no no! ¡No, no lo haces! (8)                            ¡No no no no no! Atiende (8)
When you have a problem you come home (9)                                 Cuando tienes un problema, vienes a casa (9)                      Si hay un problema vuelve al hogar 
You don’t go off and make matters worse on your own (11)                  No te vas y empeoras las cosas solo (10)                          En vez de irte tú solo y hacerlo empeorar
One day you’re gonna come back home (8)                                   Un día vas a regresar a casa (8)                                  Un día vas a regresar
And you’re not gonna find me waiting any more (12)                        Y no me vas a encontrar esperando más (12)                        Y no vas a encontrarme - esperando más (12)

[Kevin, spoken]                                                           [Kevin, hablado]                                                  [Kevin, hablado] 
I'm sorry (3)                                                             Lo siento (3)                                                     Lo siento (3)

[Camila]                                                                  [Camila]                                                          [Camila]
Huh (1)                                                                   Ajá (1)                                                           Ya
Damn right you’re sorry (5)                                               Tienes razón, lo sientes (7)                                      Con razón lo sientes (6)
So you stayed out all night (6)                                           Entonces estuviste fuera toda la noche (9)                        ¿Anoche qué pasó? (6)

[Nina, spoken]                                                            [Nina, hablado]                                                   [Nina, hablado]
Mom (1)                                                                   Mamá (2)                                                          Mamá (2)      

[Camila]                                                                  [Camila]                                                          [Camila]     
I'm talking now! (4)                                                      ¡Ahora estoy hablando! (6)                                        ¡Ahora hablo yo! (4)                 
You scared us half to death, you know that right? (11)                    Nos asustaste hasta la muerte, ¿lo sabes, verdad? (12)            ---------

[Nina, spoken]                                                            [Nina, hablado]                                                   [Nina, hablado]
I'm sorry (3)                                                             Lo siento (3)                                                     Lo siento (3)        

[Camila]                                                                  [Camila]                                                          [Camila]
Don’t apologize to me (6)                                                 No te disculpes conmigo (7)                                       No me pidás perdón
You save it for your father (7)                                           Guárdalo para tu padre (8)                                        Y díselo a tu padre (7)

[Nina, spoken]                                                            [Nina, hablado]                                                   [Nina, hablado]                                                 
What? (1)                                                                 ¿Qué? (1)                                                         ¿Qué? (1)                 

[Camila]                                                                  [Camila]                                                          [Camila]     
Look at your father (5)                                                   Mira a tu padre (5)                                               Mira a tu padre (5)     
He doesn’t sleep when you’re gone (7)                                     Él no duerme cuando te vas (8)                                    No duerme cuando te vas (7)
He’s worked his whole life to help you go farther (10)                    Ha trabajado toda su vida para ayudarte a llegar más lejos (11)   Se desloma solo por ayudarte (11)
And he can’t admit when he’s wrong (8)                                    Y no puede admitir cuando se equivoca (9)                         No admite si se equivocó 
Now who does that remind you of? (8)                                      ¿A quién te recuerda eso? (7)                                     ¿A ti a quién te recuerda?
You two deserve each other! (6)                                           ¡Ustedes dos se merecen mutuamente! (8)                           Los dos - sois iguales 
For months you lied to us (6)                                             Por meses nos mentiste (7)                                        -------------
What did we do (4)                                                        ¿Qué hicimos? (4)                                                 -------------
To make you think we wouldn’t do anything and everything for you? (14)    ¿Qué hicimos para que pensaras que no haríamos todo por ti? (14)  -------------

When you have a problem, you come home (9)                                Cuando tienes un problema, vienes a casa (9)                      Si hay un problema vuelve al hogar
You don’t run off and hide from your family all alone! (12)               ¡No te vas y te escondes de tu familia solo! (12)                 Aquí nuestra ayuda no te va a faltar               
You hear me? (3)                                                          ¿Me escuchas? (4)                                                 ¿Me escuchas?
